iter	Passed	Remaining
328	22489	1344664
329	22556	1344517
330	22622	1344308
331	22690	1344236
332	22729	1342428
333	22795	1342190
334	22861	1341996
335	22927	1341817
336	22993	1341630
337	23063	1341632
338	23136	1341857
339	23187	1340808
340	23253	1340564
341	23322	1340541
342	23397	1340916
343	23465	1340779
344	23502	1338954
345	23569	1338833
346	23635	1338642
347	23701	1338471
348	23772	1338533
349	23837	1338314
350	23905	1338230
351	23972	1338090
352	24039	1337979
353	24105	1337797
354	24184	1338317
355	24249	1338101
356	24318	1338064
357	24391	1338273
358	24459	1338194
359	24523	1337918
360	24597	1338125
361	24662	1337888
362	24730	1337807
363	24796	1337664
364	24864	1337550
365	24931	1337459
366	24998	1337304
367	25064	1337149
368	25131	1336997
369	25209	1337440
370	25275	1337265
371	25345	1337327
372	25424	1337839
373	25498	1338052
374	25566	1337975
375	25634	1337924
376	25699	1337683
377	25767	1337616
378	25832	1337351
379	25900	1337296
380	25965	1337059
381	26030	1336806
382	26099	1336797
383	26169	1336822
384	26234	1336620
385	26302	1336505
386	26369	1336392
387	26465	1337731
388	26532	1337598
389	26598	1337435
390	26665	1337288
391	26733	1337232
392	26807	1337436
393	26873	1337265
394	26940	1337122
395	27006	1336937
396	27071	1336732
397	27139	1336658
398	27211	1336783
399	27279	1336672
400	27344	1336450
401	27414	1336478
402	27479	1336277
403	27548	1336251
404	27615	1336108
405	27680	1335905
406	27748	1335808
407	27815	1335672
408	27879	1335432
409	27945	1335229
410	27971	1333192
411	28041	1333191
412	28109	1333110
413	28174	1332931
414	28253	1333353
415	28318	1333146
416	28394	1333458
417	28461	1333327
418	28527	1333151
419	28594	1333050
420	28663	1333018
421	28729	1332855
422	28766	1331360
423	28836	1331378
424	28903	1331271
425	28971	1331197
426	29039	1331129
427	29104	1330940
428	29171	1330811
429	29247	1331102
430	29314	1330979
431	29379	1330762
432	29452	1330948
433	29519	1330846
434	29593	1331017
435	29660	1330925
436	29727	1330816
437	29795	1330728
438	29861	1330590
439	29926	1330380
440	29994	1330309
441	30062	1330218
442	30129	1330119
443	30197	1330053
444	30279	1330617
445	30348	1330589
446	30426	1330932
447	30493	1330821
448	30560	1330713
449	30629	1330702
450	30696	1330556
451	30762	1330425
452	30831	1330393
453	30901	1330391
454	30969	1330336
455	31041	1330421
456	31111	1330443
457	31178	1330328
458	31252	1330504
459	31321	1330475
460	31389	1330414
461	31468	1330787
462	31536	1330741
463	31606	1330746
464	31676	1330758
465	31744	1330667
466	31813	1330629
467	31881	1330589
468	31948	1330479
469	32017	1330431
470	32085	1330342
471	32154	1330325
472	32221	1330209
473	32303	1330708
474	32373	1330716
475	32446	1330840
476	32474	1329139
477	32540	1329001
478	32607	1328866
479	32645	1327599
480	32712	1327486
481	32783	1327518
482	32849	1327360
483	32916	1327285
484	32983	1327152
