iter	Logloss
0	0.6917387518
1	0.6903369401
2	0.6889488687
3	0.6875411472
4	0.6862033094
5	0.6848433836
6	0.6834983062
7	0.682235671
8	0.680902044
9	0.6795695989
10	0.6782072353
11	0.6768377799
12	0.6755399812
13	0.6742178783
14	0.6729139481
15	0.6715931011
16	0.6702838521
17	0.6690006802
18	0.6677156615
19	0.6664454913
20	0.6651745084
21	0.6639151975
22	0.6626038062
23	0.661373084
24	0.6601274396
25	0.6588843068
26	0.6577599616
27	0.6564758294
28	0.6553420285
29	0.6541136703
30	0.6529916151
31	0.6518488017
32	0.6506858949
33	0.6495639136
34	0.6483403572
35	0.6472561249
36	0.64609211
37	0.6449405796
38	0.643771172
39	0.6426116633
40	0.6414602067
41	0.6403922266
42	0.6392589428
43	0.638242452
44	0.6371085033
45	0.6359602233
46	0.6348457771
47	0.6337130104
48	0.6325877787
49	0.6314762874
50	0.6303684897
51	0.6292739892
52	0.6281921209
53	0.6271116562
54	0.6260410166
55	0.6249228767
56	0.623829041
57	0.6227554465
58	0.6216884267
59	0.6205900109
60	0.6195429367
61	0.6185096768
62	0.6174576531
63	0.6163801433
64	0.6153407519
65	0.6142619124
66	0.6132435748
67	0.6122318858
68	0.6112390712
69	0.6102113887
70	0.6092149544
71	0.6082092121
72	0.6072058338
73	0.606211394
74	0.6052271857
75	0.6042342603
76	0.6032391558
77	0.6022987171
78	0.6013396255
79	0.6003785025
80	0.5994993783
81	0.5985333796
82	0.5975937905
83	0.5966248738
84	0.5956691065
85	0.5947382714
86	0.593798793
87	0.5929439361
88	0.5920625957
89	0.5911775248
90	0.5902812991
91	0.5893989983
92	0.5884802044
93	0.5875775887
94	0.5867472206
95	0.5858401725
96	0.5849574655
97	0.5840742414
98	0.5831832236
99	0.582276471
100	0.5813637347
101	0.5804955806
102	0.5796375102
103	0.5788513551
104	0.5779573455
105	0.5771071426
106	0.5762688332
107	0.5753951386
108	0.5745478537
109	0.573728862
110	0.5728770339
111	0.572036656
112	0.5712990353
113	0.5705013929
114	0.5696903426
115	0.5689431923
116	0.5681258998
117	0.5673897566
118	0.5665884944
119	0.5657921078
120	0.564958674
121	0.5641636911
122	0.5633951177
123	0.5626704617
124	0.5619887997
125	0.5611734647
126	0.560430045
127	0.559730395
128	0.5589388471
129	0.5581819087
130	0.5574281837
131	0.5567194474
132	0.5559699701
133	0.555217464
134	0.5544648102
135	0.5537369408
136	0.5530105488
137	0.5522953485
138	0.5515599809
139	0.5508363222
140	0.5500987016
141	0.5493744888
142	0.5486676731
143	0.5479519188
144	0.5472863242
145	0.5466347654
146	0.545943463
147	0.5452361302
148	0.5445366649
149	0.5438574038
150	0.5432266402
151	0.5425388468
152	0.5418574803
153	0.5411443116
154	0.5405090787
155	0.5398030387
156	0.5391658851
157	0.5385358972
158	0.5378588892
159	0.537202381
160	0.5365575815
161	0.5359091254
162	0.5352437894
163	0.5345685174
164	0.5339845892
165	0.5333477681
166	0.5326906689
167	0.5320163572
168	0.5313863324
169	0.5308035493
170	0.5301519536
171	0.5295071172
172	0.5289274737
173	0.528313073
174	0.5277101964
175	0.5271121585
176	0.5264803977
177	0.5258435027
178	0.5252595376
179	0.5246539647
180	0.5241199746
181	0.5235544038
182	0.5230166832
183	0.5224341586
184	0.5218926335
185	0.5212942632
186	0.5207053855
187	0.5201680711
188	0.5195967014
189	0.5189825961
190	0.5184662986
191	0.5178788615
192	0.5173020621
193	0.5168006499
194	0.5162440547
195	0.5156886045
196	0.5151244004
197	0.5145721268
198	0.5140771416
199	0.5135175546
200	0.5129574504
201	0.5123973093
202	0.5118907261
203	0.511355
204	0.5108142505
205	0.5103319714
206	0.509798166
207	0.509257712
208	0.5087190679
209	0.5082496797
210	0.5077024294
211	0.5071648195
212	0.506717667
213	0.5062193575
214	0.505689689
215	0.5052237358
216	0.5047117599
217	0.5042227953
218	0.5036965249
219	0.5031940416
220	0.5026872737
221	0.5021813183
222	0.501725929
223	0.5012527363
224	0.5007583051
225	0.5002930906
226	0.4998172016
227	0.4993412017
228	0.4988646847
229	0.4983697733
230	0.4978953248
231	0.4974133043
232	0.4969370089
233	0.4964666233
234	0.4960099412
235	0.4955382629
236	0.4951232081
237	0.4946972941
238	0.4942792475
239	0.4938340156
240	0.4934175573
241	0.4929543374
242	0.4925048579
243	0.4920425984
244	0.4915950765
245	0.4911425682
246	0.4907551788
247	0.4903068074
248	0.4898559981
249	0.4894187076
250	0.4889901341
251	0.4885960223
252	0.4881840333
253	0.4877378411
254	0.4872822301
255	0.4868962074
256	0.4864779392
257	0.4860570854
258	0.4856342371
259	0.4851885251
260	0.48476202
261	0.4843803558
262	0.4839640082
263	0.4836010708
264	0.4831894511
265	0.4827696685
266	0.4823661379
267	0.4819781206
268	0.4815861881
269	0.4812069617
270	0.4808252605
271	0.4804933866
272	0.4801323699
273	0.4797167241
274	0.4793161484
275	0.4789831295
276	0.4786609699
277	0.4783095935
278	0.4779656414
279	0.4776260478
280	0.4772579393
281	0.4768777525
282	0.4764764381
283	0.4761352562
284	0.4757552172
285	0.4754185785
286	0.4750467394
287	0.474690709
288	0.4742931621
289	0.4739552307
290	0.4736181857
291	0.4732829875
292	0.4729158762
293	0.4725704836
294	0.4722286369
295	0.4719114267
296	0.4715543622
297	0.4712256279
298	0.4708717029
299	0.4705564504
300	0.4702226558
301	0.4698672903
302	0.4695216391
303	0.4691812699
304	0.4688343998
305	0.468546628
306	0.4682288269
307	0.467884136
308	0.467534902
309	0.4671771356
310	0.4668504698
311	0.4665482928
312	0.466221553
313	0.4658951457
314	0.4655477585
315	0.4652321736
316	0.4648948331
317	0.4645838283
318	0.4642398392
319	0.4639649952
320	0.4636401761
321	0.4633111833
322	0.4629892822
323	0.4627136995
324	0.4625013888
325	0.4622232205
326	0.4619535106
327	0.4616376671
328	0.461344872
329	0.4610756423
330	0.4607669275
331	0.460494706
332	0.4602327158
333	0.4599405486
334	0.4596483814
335	0.4593357513
336	0.4590725053
337	0.4587779003
338	0.4585624131
339	0.4582734224
340	0.4579604969
341	0.4576900114
342	0.4574163124
343	0.4571613401
344	0.4568831718
345	0.4566289752
346	0.4563928406
347	0.456171776
348	0.4558944572
349	0.4555817533
350	0.4553004085
351	0.455036313
352	0.4547642761
353	0.4544800502
354	0.454205871
355	0.4539175082
356	0.4536747989
357	0.4534317202
358	0.4531593878
359	0.4529102146
360	0.4526470794
361	0.4524025233
362	0.4521752534
363	0.4519178064
364	0.4516858086
365	0.4514191275
366	0.4511564356
367	0.4508920445
368	0.450631458
369	0.4503741587
370	0.4501431582
371	0.4499205793
372	0.4496947499
373	0.4494768988
374	0.4492423893
375	0.4490162275
376	0.4488016637
377	0.4485744308
378	0.4483154694
379	0.448065816
380	0.4478184527
381	0.4475700551
382	0.4473567103
383	0.4471254512
384	0.4469531058
385	0.4467470374
386	0.4465340619
387	0.4462926453
388	0.4460501207
389	0.4458391028
390	0.4456249453
391	0.4453945728
392	0.4451597678
393	0.4449531085
394	0.4447139081
395	0.4444788446
396	0.4442729239
397	0.4440367893
398	0.4438379235
399	0.4436120941
400	0.4433706776
401	0.4431198422
402	0.4428759509
403	0.4426611286
404	0.4424674708
405	0.4422217696
406	0.4420025519
407	0.441785698
408	0.4415646704
409	0.4413887052
410	0.4412125553
411	0.4410040861
412	0.4407833908
413	0.4405622893
414	0.4403727315
415	0.4401707261
416	0.4399477408
417	0.4397339158
418	0.439537377
419	0.439338622
420	0.439131187
421	0.4389108242
422	0.4387044973
423	0.4385177466
424	0.4383398977
425	0.4381408472
426	0.4379580857
427	0.4377502074
428	0.4375705486
429	0.4373573515
430	0.4371519849
431	0.4369523804
432	0.436746312
433	0.4365669486
434	0.4363580731
435	0.43619016
436	0.436018147
437	0.4358125957
438	0.4356342666
439	0.4354395008
440	0.4352585492
441	0.4350772651
442	0.4348952793
443	0.4347114836
444	0.4345150925
445	0.4343228753
446	0.4341425885
447	0.4339785538
448	0.4337799466
449	0.4336048679
450	0.4334149038
451	0.4332163335
452	0.4330343476
453	0.4328454916
454	0.4326948648
455	0.4325118078
456	0.4323328877
457	0.4321807835
458	0.4320203685
459	0.43184577
460	0.4316835821
461	0.4315134528
462	0.4313274779
463	0.4311511803
464	0.4309813465
465	0.4307952607
466	0.4306330359
467	0.4304623895
468	0.4303116889
469	0.4301327688
470	0.4299596846
471	0.4298138226
472	0.4296628634
473	0.4294892252
474	0.429331839
475	0.4291405452
476	0.4290091623
477	0.428862303
478	0.4287006692
479	0.4285659989
480	0.428404402
481	0.4282554743
482	0.4281083195
483	0.4279686998
484	0.4278277873
